place;sport;sport;liga_id;liga_name;is_top;
;;Футбол;13754;Англия. Премьер-лига;2;
;;Футбол;2730052;Англия. Премьер-лига 2 (до 23 лет);1;
;;Футбол;1837925;Англия. Северная Премьер-лига. Премьер-дивизион;1;
;;Футбол;13822;Англия. Чемпион-лига;1;
;;Футбол;3995147;Англия. Южная футбольная-лига. Премьер-дивизион. Центр;1;
;;Футбол;3995148;Англия. Южная футбольная-лига. Премьер-дивизион. Юг;1;
;;Футбол;5467099;Аргентина. Примера B Метрополитана. Клаусура;0;
;;Футбол;5465923;Аргентина. Примера C Метрополитана. Клаусура;0;
;;Футбол;5022578;Аргентина. Суперлига;1;
;;;1037273;;0;
;;;5468053;;0;
;;Футбол;5463335;Бельгия. 1-й дивизион B;0;
;;Футбол;5458245;Бельгия. 1-й дивизион А;1;
;;Футбол;2671397;Бразилия. Баияно;0;
;;Футбол;40870;Бразилия. Кубок Сан-Паулу (до 20 лет). Финал;1;
;;Футбол;1874481;Бразилия. Паулиста. 1-я лига;;
;;Шлак;14769;;0;
;;;9409;;0;
;;;2837429;;0;
;;;2300412;;0;
;;;2826577;;0;
;;;3088879;;0;
;;;2751787;;0;
;;;1120866;;0;
;;;17548;;0;
;;;2019686;;0;
;;;2826578;;0;
;;;17796;;0;
;;;2722278;;0;
;;;3636226;;0;
;;;1872954;;0;
;;;1874479;;0;
;;;17475;;0;
;;;2026428;;0;
;;;17547;;0;
;;;2865030;;0;
;;Футбол;13880;Венгрия. Лига NB I;1;
;;Футбол;23919;Гана. Премьер-лига;0;
;;шлак;3684358;;0;
;;Футбол;3077273;Германия. 2-я бундеслига;1;
;;Футбол;13828;Германия. 3-я лига;1;
;;Футбол;13779;Германия. Бундеслига;2;
;;Футбол;16458;Германия. Региональная лига. Запад;1;
;;Футбол;24066;Германия. Региональная лига. Северо-Восток;1;
;;Футбол;5447990;Гибралтар. Национальная лига. Чемпионская группа;0;
;;шлак;3590452;;0;
;;Футбол;2647682;Греция. Молодежная лига (до 19 лет);0;
;;Футбол;14592;Греция. Суперлига;1;
;;Футбол;5280118;Греция. Суперлига 2;1;
;;Футбол;2065943;Греция. Футбольная лига;1;
;;Футбол;13829;Дания. Суперлига;1;
;;Футбол;15802;Египет. Премьер-лига;1;
;;Футбол;21250;Женщины. Англия. Суперлига;1;
;;;1025520;;1;
;;;998233;;1;
;;Футбол;115975;Женщины. Испания. Примера дивизион;1;
;;Футбол;4501296;Женщины. Кубок Англии. 1/16 финала;1;
;;Футбол;3590071;Женщины. Мексика. Примера дивизион. Клаусура;0;
;;Футбол;971961;Женщины. Товарищеские матчи;0;
;;Футбол;115705;Женщины. Франция. 1-й дивизион;0;
;;шлак;3645046;;0;
;;Футбол;16085;Израиль. Лига Леумит;0;
;;Футбол;14742;Израиль. Премьер-лига;1;
;;Футбол;2742721;Индия. I-лига;0;
;;Футбол;574348;Индия. Суперлига;1;
;;Футбол;14182;Иран. Про-лига;1;
;;Футбол;13782;Испания. Примера дивизион;2;
;;Футбол;14578;Испания. Сегунда В. Группа 1;1;
;;Футбол;14579;Испания. Сегунда В. Группа 2;1;
;;Футбол;14580;Испания. Сегунда В. Группа 3;1;
;;;14581;;1;
;;Футбол;11744;Испания. Сегунда дивизион;1;
;;Футбол;4153901;Испания. Терсера Дивизион. Группа 11;0;
;;Футбол;4153904;Испания. Терсера Дивизион. Группа 12;0;
;;;4153948;;0;
;;Футбол;4162719;Испания. Терсера Дивизион. Группа 15;0;
;;;4153950;;0;
;;Футбол;2894358;Испания. Терсера Дивизион. Группа 3;0;
;;Футбол;2894262;Испания. Терсера Дивизион. Группа 4;0;
;;;4153052;;0;
;;Футбол;4170063;Испания. Терсера Дивизион. Группа 6;0;
;;Футбол;4170594;Испания. Терсера Дивизион. Группа 8;0;
;;Футбол;160652;Италия. Примавера 1;1;
;;Футбол;14079;Италия. Серия A;2;
;;Футбол;14614;Италия. Серия B;1;
;;Футбол;2457187;Италия. Серия C. Группа A;0;
;;;2457188;;0;
;;;2457189;;0;
;;Футбол;3284088;Катар. Старз лига;0;
;;Футбол;1027756;Кения. Премьер-лига;0;
;;Футбол;14748;Кипр. 1-й дивизион;1;
;;Футбол;32386;Кипр. 2-й дивизион;0;
;;Футбол;1843594;Колумбия. Примера A. Апертура;0;
;;Футбол;2704244;Колумбия. Примера B. Апертура;0;
;;;5459906;;0;
